Player_ID,Name,Team,Full Name,Captain,Keeper,Overseas,Role,Batting Style,Bowling Style,Nationality,DOB
2,Georgia Voll,UPW,Georgia Voll,N,N,Y,Batter,Right Handed,Right arm Offbreak,Australia,05/08/2003
3,Kiran Navgire,UPW,Kiran Prabhu Navgire,N,N,N,Batter,Right Handed,-,India,18/09/1994
4,Shweta Sehrawat,UPW,Shweta Sehrawat,N,N,N,All Rounder,Right Handed,Right arm Offbreak,India,26/02/2004
5,Vrinda Dinesh,UPW,Dinesh Vrinda,N,N,N,Batter,Right Handed,Legbreak,India,02/03/2001
6,Chinelle Henry,UPW,Chinelle Akhalia Henry,N,N,Y,Batter,Right Handed,Right arm Medium fast,West Indies,17/08/1995
7,Deepti Sharma,UPW,Deepti Bhagwan Sharma,Y,N,N,All Rounder,Left Handed,Right arm Offbreak,India,24/08/1997
8,Grace Harris,UPW,Grace Margaret Harris,N,N,Y,All Rounder,Right Handed,Right arm Offbreak,Australia,18/09/1993
9,Kranti Gaud,UPW,Kranti Gaud,N,N,N,Bowler,Right Handed,Right arm Medium fast,India,11/08/2003
10,Poonam Khemnar,UPW,Poonam Nanasaheb Khemnar,N,N,N,Batter,Right Handed,Legbreak,India,09/05/1994
11,Sophie Ecclestone,UPW,Sophie Ecclestone,N,N,Y,Bowler,Right Handed,Slow Left arm Orthodox,England,06/05/1999
12,Tahlia Mcgrath,UPW,Tahlia May McGrath,N,N,Y,All Rounder,Right Handed,Right arm Medium,Australia,10/11/1995
13,Uma Chetry,UPW,Uma Chetry,N,Y,N,Wicket Keeper,Right Handed,-,India,27/07/2002
14,Alana King,UPW,Alana Maria King,N,N,Y,All Rounder,Right Handed,Legbreak,Australia,22/11/1995
15,Anjali Sarvani,UPW,Kesavarajugari Anjali Sarvani,N,N,N,Bowler,Left Handed,Left arm Medium,India,28/08/1997
16,Gouher Sultana,UPW,Gouher Sultana,N,N,N,Bowler,Right Handed,Slow Left arm Orthodox,India,31/03/1988
17,Rajeshwari Gayakwad,UPW,Rajeshwari Shivanand Gayakwad,N,N,N,Bowler,Right Handed,Slow Left arm Orthodox,India,01/06/1991
18,Saima Thakor,UPW,Saima Zakirhussain Thakor,N,N,N,Bowler,Right Handed,Right arm Medium fast,India,13/09/1996
